Isotope,Energy,Intensity,Half life (s),Half life (m),half life (h),half life (d)
57CO,14.4129,9.16,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
62ZN,40.85,25.5,33336.0,555.6,9.26,0.3858333333333333
61CU,67.412,4.2,11998.8,199.98,3.3329999999999997,0.138875
61CO,67.412,84.7,5940.0,99.0,1.65,0.06875
55CO,91.9,1.16,63108.0,1051.8,17.53,0.7304166666666667
60CU,120.5,0.194,1422.0,23.7,0.395,0.016458333333333332
57CO,122.06065,85.6,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
57NI,127.164,16.7,128160.0,2136.0,35.6,1.4833333333333334
57CO,136.47356,10.68,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
59FE,142.651,1.02,3844368.0,64072.8,1067.88,44.495
56NI,158.38,98.8,524880.0,8748.0,145.8,6.075
59FE,192.343,3.08,3844368.0,64072.8,1067.88,44.495
62ZN,243.36,2.52,33336.0,555.6,9.26,0.3858333333333333
62ZN,246.95,1.9,33336.0,555.6,9.26,0.3858333333333333
62ZN,260.43,1.35,33336.0,555.6,9.26,0.3858333333333333
61ZN,265.9,0.54,89.1,1.4849999999999999,0.024749999999999998,0.0010312499999999998
56NI,269.5,36.5,524880.0,8748.0,145.8,6.075
61CU,282.956,12.2,11998.8,199.98,3.3329999999999997,0.138875
62ZN,304.88,0.29,33336.0,555.6,9.26,0.3858333333333333
59FE,334.8,0.27,3844368.0,64072.8,1067.88,44.495
62ZN,349.6,0.45,33336.0,555.6,9.26,0.3858333333333333
65NI,366.27,4.81,9061.884,151.0314,2.51719,0.10488291666666667
61CU,373.05,2.1,11998.8,199.98,3.3329999999999997,0.138875
55CO,385.4,0.54,63108.0,1051.8,17.53,0.7304166666666667
62ZN,394.03,2.24,33336.0,555.6,9.26,0.3858333333333333
55CO,411.5,1.07,63108.0,1051.8,17.53,0.7304166666666667
61ZN,426.0,0.146,89.1,1.4849999999999999,0.024749999999999998,0.0010312499999999998
63ZN,449.93,0.236,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,467.3,3.52,1422.0,23.7,0.395,0.016458333333333332
61ZN,475.0,16.5,89.1,1.4849999999999999,0.024749999999999998,0.0010312499999999998
55CO,477.2,20.2,63108.0,1051.8,17.53,0.7304166666666667
56NI,480.44,36.5,524880.0,8748.0,145.8,6.075
60CU,497.9,1.67,1422.0,23.7,0.395,0.016458333333333332
62ZN,507.6,14.8,33336.0,555.6,9.26,0.3858333333333333
65NI,507.9,0.293,9061.884,151.0314,2.51719,0.10488291666666667
64CU,511.0,35.2,45723.6,762.06,12.700999999999999,0.5292083333333333
60CU,511.0,185.0,1422.0,23.7,0.395,0.016458333333333332
63ZN,511.0,185.5,2308.2,38.47,0.6411666666666667,0.026715277777777775
57NI,511.0,87.0,128160.0,2136.0,35.6,1.4833333333333334
55CO,511.0,152.0,63108.0,1051.8,17.53,0.7304166666666667
56CO,511.0,39.0,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
CO-58g,511.0,29.8,6122304.0,102038.4,1700.64,70.86
65ZN,511.0,2.842,21075550.0,351259.1666666667,5854.319444444444,243.92997685185185
62CU,511.0,195.66,580.38,9.673,0.16121666666666667,0.0067173611111111114
61CU,511.0,123.0,11998.8,199.98,3.3329999999999997,0.138875
61ZN,511.0,197.0,89.1,1.4849999999999999,0.024749999999999998,0.0010312499999999998
62ZN,511.0,16.4,33336.0,555.6,9.26,0.3858333333333333
55CO,520.0,0.83,63108.0,1051.8,17.53,0.7304166666666667
61CU,529.169,0.38,11998.8,199.98,3.3329999999999997,0.138875
62ZN,548.35,15.3,33336.0,555.6,9.26,0.3858333333333333
61CU,588.605,1.17,11998.8,199.98,3.3329999999999997,0.138875
62ZN,596.56,26.0,33336.0,555.6,9.26,0.3858333333333333
65NI,609.5,0.155,9061.884,151.0314,2.51719,0.10488291666666667
62ZN,637.41,0.25,33336.0,555.6,9.26,0.3858333333333333
60CU,643.2,0.97,1422.0,23.7,0.395,0.016458333333333332
61CU,656.008,10.8,11998.8,199.98,3.3329999999999997,0.138875
63ZN,669.62,8.2,2308.2,38.47,0.6411666666666667,0.026715277777777775
61ZN,690.3,1.84,89.1,1.4849999999999999,0.024749999999999998,0.0010312499999999998
57CO,692.41,0.149,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
61ZN,697.6,0.42,89.1,1.4849999999999999,0.024749999999999998,0.0010312499999999998
56CO,733.514,0.191,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56NI,749.95,49.5,524880.0,8748.0,145.8,6.075
61ZN,751.6,0.31,89.1,1.4849999999999999,0.024749999999999998,0.0010312499999999998
65NI,770.6,0.104,9061.884,151.0314,2.51719,0.10488291666666667
56CO,787.743,0.311,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
