Isotope,Energy,Intensity,Half life (s),Half life (m),half life (h),half life (d)
48CR,5.427,1.46,77616.0,1293.6,21.56,0.8983333333333333
48CR,5.427,0.75,77616.0,1293.6,21.56,0.8983333333333333
55FE,5.888,8.2,86594050.0,1443234.1666666667,24053.902777777777,1002.245949074074
FE-53g,5.888,0.24,510.6,8.51,0.14183333333333334,0.0059097222222222225
56CR,5.888,4.93,356.4,5.9399999999999995,0.09899999999999999,0.004124999999999999
FE-53g,5.899,0.47,510.6,8.51,0.14183333333333334,0.0059097222222222225
55FE,5.899,16.2,86594050.0,1443234.1666666667,24053.902777777777,1002.245949074074
56CR,5.899,9.7,356.4,5.9399999999999995,0.09899999999999999,0.004124999999999999
MN-52g,5.947,1.15,483062.4,8051.04,134.184,5.591
MN-52g,5.947,0.59,483062.4,8051.04,134.184,5.591
54MN,5.947,1.64,26961120.0,449352.0,7489.2,312.05
53MN,5.947,0.84,116763000000000.0,1946050000000.0,32434166666.666668,1351423611.1111112
54MN,5.947,0.84,26961120.0,449352.0,7489.2,312.05
53MN,5.947,1.64,116763000000000.0,1946050000000.0,32434166666.666668,1351423611.1111112
56CO,6.391,7.3,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
CO-58g,6.391,7.7,6122304.0,102038.4,1700.64,70.86
57CO,6.391,16.6,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
55CO,6.391,2.2,63108.0,1051.8,17.53,0.7304166666666667
57CO,6.404,32.9,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
56CO,6.404,14.5,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
CO-58g,6.404,15.3,6122304.0,102038.4,1700.64,70.86
55CO,6.404,4.36,63108.0,1051.8,17.53,0.7304166666666667
56CR,6.49,0.58,356.4,5.9399999999999995,0.09899999999999999,0.004124999999999999
55FE,6.49,1.89,86594050.0,1443234.1666666667,24053.902777777777,1002.245949074074
55FE,6.49,0.96,86594050.0,1443234.1666666667,24053.902777777777,1002.245949074074
56CR,6.49,1.13,356.4,5.9399999999999995,0.09899999999999999,0.004124999999999999
CO-58m,6.915,8.2,32760.0,546.0,9.1,0.37916666666666665
CO-58m,6.93,16.1,32760.0,546.0,9.1,0.37916666666666665
55CO,7.058,0.52,63108.0,1051.8,17.53,0.7304166666666667
57CO,7.058,2.0,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
CO-58g,7.058,1.82,6122304.0,102038.4,1700.64,70.86
55CO,7.058,0.265,63108.0,1051.8,17.53,0.7304166666666667
56CO,7.058,0.88,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,7.058,1.72,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
CO-58g,7.058,0.93,6122304.0,102038.4,1700.64,70.86
57CO,7.058,3.91,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
61CO,7.461,1.27,5940.0,99.0,1.65,0.06875
61CO,7.478,2.49,5940.0,99.0,1.65,0.06875
CO-58m,7.649,0.99,32760.0,546.0,9.1,0.37916666666666665
CO-58m,7.649,1.93,32760.0,546.0,9.1,0.37916666666666665
61CO,8.265,0.299,5940.0,99.0,1.65,0.06875
61CO,8.265,0.154,5940.0,99.0,1.65,0.06875
57CO,14.4129,9.16,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
56CR,26.0,44.6,356.4,5.9399999999999995,0.09899999999999999,0.004124999999999999
49CR,62.289,16.4,2538.0,42.3,0.705,0.029375
61CO,67.412,84.7,5940.0,99.0,1.65,0.06875
56CR,83.0,95.3,356.4,5.9399999999999995,0.09899999999999999,0.004124999999999999
49CR,90.639,53.2,2538.0,42.3,0.705,0.029375
55CO,91.9,1.16,63108.0,1051.8,17.53,0.7304166666666667
48CR,112.31,96.0,77616.0,1293.6,21.56,0.8983333333333333
57CO,122.06065,85.6,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
57CO,136.47356,10.68,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
59FE,142.651,1.02,3844368.0,64072.8,1067.88,44.495
49CR,152.928,30.3,2538.0,42.3,0.705,0.029375
47V,159.8,0.107,1956.0,32.6,0.5433333333333333,0.02263888888888889
59FE,192.343,3.08,3844368.0,64072.8,1067.88,44.495
48CR,308.24,100.0,77616.0,1293.6,21.56,0.8983333333333333
51CR,320.0824,9.91,2393366.0,39889.433333333334,664.8238888888889,27.70099537037037
59FE,334.8,0.27,3844368.0,64072.8,1067.88,44.495
MN-52g,346.02,0.98,483062.4,8051.04,134.184,5.591
MN-52m,377.738,1.68,1266.0,21.1,0.3516666666666667,0.014652777777777778
FE-53g,377.9,42.0,510.6,8.51,0.14183333333333334,0.0059097222222222225
55CO,385.4,0.54,63108.0,1051.8,17.53,0.7304166666666667
MN-52g,399.57,0.183,483062.4,8051.04,134.184,5.591
55CO,411.5,1.07,63108.0,1051.8,17.53,0.7304166666666667
55CO,477.2,20.2,63108.0,1051.8,17.53,0.7304166666666667
MN-52g,502.06,0.21,483062.4,8051.04,134.184,5.591
48CR,511.0,3.2,77616.0,1293.6,21.56,0.8983333333333333
48V,511.0,99.8,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,511.0,152.0,63108.0,1051.8,17.53,0.7304166666666667
MN-52g,511.0,58.8,483062.4,8051.04,134.184,5.591
47V,511.0,193.09,1956.0,32.6,0.5433333333333333,0.02263888888888889
MN-52m,511.0,193.1,1266.0,21.1,0.3516666666666667,0.014652777777777778
CO-58g,511.0,29.8,6122304.0,102038.4,1700.64,70.86
51MN,511.0,194.18,2772.0,46.2,0.77,0.03208333333333333
FE-53g,511.0,194.0,510.6,8.51,0.14183333333333334,0.0059097222222222225
49CR,511.0,186.0,2538.0,42.3,0.705,0.029375
56CO,511.0,39.0,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,520.0,0.83,63108.0,1051.8,17.53,0.7304166666666667
MN-52g,600.16,0.39,483062.4,8051.04,134.184,5.591
MN-52g,647.47,0.4,483062.4,8051.04,134.184,5.591
57CO,692.41,0.149,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
FE-53m,701.1,100.0,152.4,2.54,0.042333333333333334,0.001763888888888889
56CO,733.514,0.191,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52g,744.233,90.0,483062.4,8051.04,134.184,5.591
51MN,749.07,0.265,2772.0,46.2,0.77,0.03208333333333333
56CO,787.743,0.311,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
48V,802.9,0.136,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,803.7,1.87,63108.0,1051.8,17.53,0.7304166666666667
CO-58g,810.7593,99.45,6122304.0,102038.4,1700.64,70.86
55CO,827.0,0.21,63108.0,1051.8,17.53,0.7304166666666667
54MN,834.848,99.976,26961120.0,449352.0,7489.2,312.05
56MN,846.7638,98.85,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,846.77,99.9399,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52g,848.18,3.32,483062.4,8051.04,134.184,5.591
61CO,850.0,0.79,5940.0,99.0,1.65,0.06875
CO-58g,863.951,0.686,6122304.0,102038.4,1700.64,70.86
61CO,917.5,3.6,5940.0,99.0,1.65,0.06875
48V,928.327,0.783,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,931.1,75.0,63108.0,1051.8,17.53,0.7304166666666667
MN-52g,935.544,94.5,483062.4,8051.04,134.184,5.591
48V,944.13,7.87,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
56CO,977.372,1.421,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
48V,983.525,99.98,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,984.6,0.52,63108.0,1051.8,17.53,0.7304166666666667
56CO,996.948,0.111,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
FE-53m,1011.5,86.0,152.4,2.54,0.042333333333333334,0.001763888888888889
56CO,1037.843,14.05,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
59FE,1099.245,56.5,3844368.0,64072.8,1067.88,44.495
56CO,1140.368,0.132,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
60CO,1173.228,99.85,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
56CO,1175.101,2.252,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,1212.8,0.26,63108.0,1051.8,17.53,0.7304166666666667
56CO,1238.288,66.46,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52g,1246.278,4.21,483062.4,8051.04,134.184,5.591
MN-52g,1247.88,0.38,483062.4,8051.04,134.184,5.591
59FE,1291.59,43.2,3844368.0,64072.8,1067.88,44.495
48V,1312.106,98.2,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,1316.6,7.1,63108.0,1051.8,17.53,0.7304166666666667
FE-53m,1328.1,87.0,152.4,2.54,0.042333333333333334,0.001763888888888889
60CO,1332.492,99.9826,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
52V,1333.62,0.588,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52g,1333.649,5.07,483062.4,8051.04,134.184,5.591
56CO,1335.4,0.1224,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,1360.212,4.283,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,1370.0,2.9,63108.0,1051.8,17.53,0.7304166666666667
55CO,1408.5,16.9,63108.0,1051.8,17.53,0.7304166666666667
MN-52m,1434.06,98.2,1266.0,21.1,0.3516666666666667,0.014652777777777778
52V,1434.06,100.0,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52g,1434.092,100.0,483062.4,8051.04,134.184,5.591
48V,1437.52,0.12,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
56CO,1442.746,0.18,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
52V,1530.67,0.116,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
FE-53g,1619.9,0.5,510.6,8.51,0.14183333333333334,0.0059097222222222225
CO-58g,1674.725,0.517,6122304.0,102038.4,1700.64,70.86
FE-53m,1712.6,1.3,152.4,2.54,0.042333333333333334,0.001763888888888889
MN-52m,1727.53,0.216,1266.0,21.1,0.3516666666666667,0.014652777777777778
56CO,1771.357,15.41,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
47V,1793.9,0.191,1956.0,32.6,0.5433333333333333,0.02263888888888889
56MN,1810.726,26.9,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,1810.757,0.64,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,1963.741,0.707,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,2015.215,3.016,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,2034.791,7.77,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56MN,2113.092,14.2,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,2113.135,0.377,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,2177.6,0.29,63108.0,1051.8,17.53,0.7304166666666667
56CO,2212.944,0.388,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
48V,2240.396,2.333,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
FE-53g,2273.5,0.38,510.6,8.51,0.14183333333333334,0.0059097222222222225
56CO,2276.131,0.118,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
FE-53m,2339.7,13.0,152.4,2.54,0.042333333333333334,0.001763888888888889
56MN,2523.06,1.018,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,2598.5,16.97,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56MN,2657.56,0.645,9284.04,154.734,2.5789000000000004,0.10745416666666667
FE-53g,2748.8,0.14,510.6,8.51,0.14183333333333334,0.0059097222222222225
55CO,2872.4,0.118,63108.0,1051.8,17.53,0.7304166666666667
56MN,2959.92,0.306,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,3009.645,1.036,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,3202.029,3.209,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,3253.503,7.923,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,3273.079,1.8759,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56MN,3369.81,0.168,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,3451.232,0.949,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,3548.05,0.1955,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
