Isotope,Energy,Intensity,Half life (s),Half life (m),half life (h),half life (d)
186PT,4.87,0.84,7488.0,124.8,2.08,0.08666666666666667
IR-187g,8.91,36.6,37800.0,630.0,10.5,0.4375
188IR,8.91,32.1,149400.0,2490.0,41.5,1.7291666666666667
189IR,8.91,41.0,1140480.0,19008.0,316.8,13.2
IR-192g,8.91,1.5,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190m2,8.91,52.2,11113.2,185.22,3.087,0.12862500000000002
IR-190g,8.91,32.0,1017792.0,16963.2,282.72,11.78
IR-194m,9.18,48.0,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
188PT,9.18,44.0,881280.0,14688.0,244.8,10.2
IR-190m1,9.18,22.3,4032.0,67.2,1.12,0.04666666666666667
186PT,9.18,35.0,7488.0,124.8,2.08,0.08666666666666667
189PT,9.18,50.0,39132.0,652.2,10.87,0.4529166666666667
IR-190m2,9.18,8.0,11113.2,185.22,3.087,0.12862500000000002
IR-192m1,9.18,23.2,87.0,1.45,0.024166666666666666,0.0010069444444444444
IR-192m2,9.18,42.7,7605382000.0,126756366.66666667,2112606.111111111,88025.25462962964
193OS,9.18,8.3,108396.0,1806.6,30.11,1.2545833333333334
191OS,9.18,41.9,1330560.0,22176.0,369.6,15.4
IR-192g,9.44,3.92,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-194g,9.44,0.37,69408.0,1156.8,19.28,0.8033333333333333
PT-193m,9.44,27.3,374112.0,6235.2,103.92,4.33
IR-187g,9.75,0.19,37800.0,630.0,10.5,0.4375
PT-193m,12.634,0.7,374112.0,6235.2,103.92,4.33
IR-187g,25.62,0.161,37800.0,630.0,10.5,0.4375
IR-194m,29.89,0.166,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
189IR,36.17,0.67,1140480.0,19008.0,316.8,13.2
IR-190m2,36.184,2.56,11113.2,185.22,3.087,0.12862500000000002
IR-194m,39.217,0.125,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
188PT,41.98,0.52,881280.0,14688.0,244.8,10.2
186PT,42.5,0.23,7488.0,124.8,2.08,0.08666666666666667
