Isotope,Energy,Intensity,Half life (s),Half life (m),half life (h),half life (d)
IR-194m,43.119,0.16,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
186PT,54.2,1.18,7488.0,124.8,2.08,0.08666666666666667
188PT,54.85,0.76,881280.0,14688.0,244.8,10.2
IR-190m2,56.128,1.02,11113.2,185.22,3.087,0.12862500000000002
189IR,56.5,0.15,1140480.0,19008.0,316.8,13.2
189IR,59.05,1.2,1140480.0,19008.0,316.8,13.2
188IR,61.486,25.6,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,61.486,24.3,1017792.0,16963.2,282.72,11.78
IR-187g,61.486,23.5,37800.0,630.0,10.5,0.4375
IR-190m2,61.486,25.0,11113.2,185.22,3.087,0.12862500000000002
189IR,61.486,22.1,1140480.0,19008.0,316.8,13.2
IR-192g,61.486,1.19,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-194m,62.793,0.4,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
IR-190m2,63.0,42.5,11113.2,185.22,3.087,0.12862500000000002
IR-192g,63.0,2.02,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189IR,63.0,38.0,1140480.0,19008.0,316.8,13.2
IR-190g,63.0,41.5,1017792.0,16963.2,282.72,11.78
188IR,63.0,43.6,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,63.0,40.0,37800.0,630.0,10.5,0.4375
189PT,63.287,35.0,39132.0,652.2,10.87,0.4529166666666667
IR-190m2,63.287,0.87,11113.2,185.22,3.087,0.12862500000000002
186PT,63.287,26.0,7488.0,124.8,2.08,0.08666666666666667
IR-192m2,63.287,0.176,7605382000.0,126756366.66666667,2112606.111111111,88025.25462962964
193OS,63.287,3.16,108396.0,1806.6,30.11,1.2545833333333334
IR-194m,63.287,15.0,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
191OS,63.287,15.7,1330560.0,22176.0,369.6,15.4
188PT,63.287,28.7,881280.0,14688.0,244.8,10.2
IR-187g,64.59,0.85,37800.0,630.0,10.5,0.4375
189PT,64.986,60.0,39132.0,652.2,10.87,0.4529166666666667
186PT,64.986,44.0,7488.0,124.8,2.08,0.08666666666666667
IR-190m2,64.986,1.48,11113.2,185.22,3.087,0.12862500000000002
IR-192m2,64.986,0.3,7605382000.0,126756366.66666667,2112606.111111111,88025.25462962964
IR-194m,64.986,25.5,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
188PT,64.986,48.8,881280.0,14688.0,244.8,10.2
191OS,64.986,26.7,1330560.0,22176.0,369.6,15.4
193OS,64.986,5.39,108396.0,1806.6,30.11,1.2545833333333334
IR-192g,65.122,2.62,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-194g,65.122,0.247,69408.0,1156.8,19.28,0.8033333333333333
PT-193m,65.122,4.25,374112.0,6235.2,103.92,4.33
IR-187g,65.31,0.74,37800.0,630.0,10.5,0.4375
IR-192g,66.831,4.44,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-194g,66.831,0.42,69408.0,1156.8,19.28,0.8033333333333333
PT-193m,66.831,7.21,374112.0,6235.2,103.92,4.33
189IR,69.52,3.5,1140480.0,19008.0,316.8,13.2
188IR,71.079,5.12,149400.0,2490.0,41.5,1.7291666666666667
IR-192g,71.079,0.238,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-187g,71.079,4.69,37800.0,630.0,10.5,0.4375
189IR,71.079,4.4,1140480.0,19008.0,316.8,13.2
IR-190g,71.079,4.87,1017792.0,16963.2,282.72,11.78
IR-190m2,71.079,4.99,11113.2,185.22,3.087,0.12862500000000002
IR-190g,71.414,9.4,1017792.0,16963.2,282.72,11.78
189IR,71.414,8.5,1140480.0,19008.0,316.8,13.2
IR-187g,71.414,9.1,37800.0,630.0,10.5,0.4375
IR-190m2,71.414,9.66,11113.2,185.22,3.087,0.12862500000000002
188IR,71.414,9.9,149400.0,2490.0,41.5,1.7291666666666667
IR-192g,71.414,0.46,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
193OS,73.029,3.1,108396.0,1806.6,30.11,1.2545833333333334
188PT,73.202,5.77,881280.0,14688.0,244.8,10.2
IR-190m2,73.202,0.175,11113.2,185.22,3.087,0.12862500000000002
191OS,73.202,3.15,1330560.0,22176.0,369.6,15.4
189PT,73.202,7.1,39132.0,652.2,10.87,0.4529166666666667
IR-194m,73.202,3.0,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
193OS,73.202,0.637,108396.0,1806.6,30.11,1.2545833333333334
186PT,73.202,5.2,7488.0,124.8,2.08,0.08666666666666667
IR-192g,73.363,0.161,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-187g,73.363,3.18,37800.0,630.0,10.5,0.4375
188IR,73.363,3.47,149400.0,2490.0,41.5,1.7291666666666667
IR-190m2,73.363,3.38,11113.2,185.22,3.087,0.12862500000000002
IR-190g,73.363,3.3,1017792.0,16963.2,282.72,11.78
189IR,73.363,3.0,1140480.0,19008.0,316.8,13.2
193OS,73.56,1.22,108396.0,1806.6,30.11,1.2545833333333334
IR-194m,73.56,5.8,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
189PT,73.56,13.7,39132.0,652.2,10.87,0.4529166666666667
IR-190m2,73.56,0.335,11113.2,185.22,3.087,0.12862500000000002
188PT,73.56,11.1,881280.0,14688.0,244.8,10.2
186PT,73.56,10.0,7488.0,124.8,2.08,0.08666666666666667
191OS,73.56,6.06,1330560.0,22176.0,369.6,15.4
IR-187g,74.3,1.43,37800.0,630.0,10.5,0.4375
186PT,74.7,0.17,7488.0,124.8,2.08,0.08666666666666667
IR-187g,75.03,0.62,37800.0,630.0,10.5,0.4375
IR-192g,75.368,0.531,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
PT-193m,75.368,0.862,374112.0,6235.2,103.92,4.33
188PT,75.575,3.92,881280.0,14688.0,244.8,10.2
IR-194m,75.575,2.05,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
191OS,75.575,2.14,1330560.0,22176.0,369.6,15.4
IR-190m2,75.575,0.119,11113.2,185.22,3.087,0.12862500000000002
186PT,75.575,3.5,7488.0,124.8,2.08,0.08666666666666667
189PT,75.575,4.8,39132.0,652.2,10.87,0.4529166666666667
193OS,75.575,0.433,108396.0,1806.6,30.11,1.2545833333333334
PT-193m,75.749,1.66,374112.0,6235.2,103.92,4.33
IR-192g,75.749,1.021,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
186PT,76.8,0.81,7488.0,124.8,2.08,0.08666666666666667
IR-192g,77.831,0.364,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
PT-193m,77.831,0.59,374112.0,6235.2,103.92,4.33
189PT,82.22,2.4,39132.0,652.2,10.87,0.4529166666666667
IR-194m,82.339,0.37,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
IR-194m,84.288,4.6,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
189PT,94.34,6.5,39132.0,652.2,10.87,0.4529166666666667
189IR,95.23,0.38,1140480.0,19008.0,316.8,13.2
188PT,96.7,0.17,881280.0,14688.0,244.8,10.2
188PT,98.37,0.34,881280.0,14688.0,244.8,10.2
186PT,101.8,0.31,7488.0,124.8,2.08,0.08666666666666667
186PT,105.0,0.15,7488.0,124.8,2.08,0.08666666666666667
193OS,107.07,0.56,108396.0,1806.6,30.11,1.2545833333333334
186PT,108.9,0.53,7488.0,124.8,2.08,0.08666666666666667
186PT,110.0,0.118,7488.0,124.8,2.08,0.08666666666666667
IR-194m,112.23,8.3,0.03185,0.0005308333333333334,8.847222222222223e-06,3.686342592592593e-07
IR-187g,113.2,0.179,37800.0,630.0,10.5,0.4375
189PT,113.82,2.5,39132.0,652.2,10.87,0.4529166666666667
186PT,116.7,0.13,7488.0,124.8,2.08,0.08666666666666667
186PT,119.3,0.22,7488.0,124.8,2.08,0.08666666666666667
186PT,127.0,0.18,7488.0,124.8,2.08,0.08666666666666667
191OS,129.431,26.5,1330560.0,22176.0,369.6,15.4
188PT,132.86,0.25,881280.0,14688.0,244.8,10.2
IR-190m2,135.348,2.81,11113.2,185.22,3.087,0.12862500000000002
PT-193m,135.5,0.1145475,374112.0,6235.2,103.92,4.33
IR-192g,136.39,0.199,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
193OS,138.92,3.82,108396.0,1806.6,30.11,1.2545833333333334
186PT,139.0,0.31,7488.0,124.8,2.08,0.08666666666666667
188PT,140.35,2.33,881280.0,14688.0,244.8,10.2
189PT,141.18,3.6,39132.0,652.2,10.87,0.4529166666666667
189IR,147.1,0.108,1140480.0,19008.0,316.8,13.2
186PT,149.8,0.45,7488.0,124.8,2.08,0.08666666666666667
186PT,149.8,0.45,7488.0,124.8,2.08,0.08666666666666667
186PT,154.4,0.15,7488.0,124.8,2.08,0.08666666666666667
188IR,155.05,30.0,149400.0,2490.0,41.5,1.7291666666666667
186PT,159.4,0.14,7488.0,124.8,2.08,0.08666666666666667
186PT,159.4,0.14,7488.0,124.8,2.08,0.08666666666666667
189PT,176.53,0.84,39132.0,652.2,10.87,0.4529166666666667
IR-187g,177.68,2.2,37800.0,630.0,10.5,0.4375
193OS,180.061,0.167,108396.0,1806.6,30.11,1.2545833333333334
186PT,180.7,1.15,7488.0,124.8,2.08,0.08666666666666667
186PT,180.7,1.15,7488.0,124.8,2.08,0.08666666666666667
IR-187g,180.83,0.169,37800.0,630.0,10.5,0.4375
193OS,181.785,0.18,108396.0,1806.6,30.11,1.2545833333333334
189IR,185.85,0.18,1140480.0,19008.0,316.8,13.2
186PT,186.6,0.48,7488.0,124.8,2.08,0.08666666666666667
IR-190g,186.68,52.0,1017792.0,16963.2,282.72,11.78
IR-190m2,186.7,64.2,11113.2,185.22,3.087,0.12862500000000002
189PT,186.7,1.9,39132.0,652.2,10.87,0.4529166666666667
IR-187g,187.37,1.48,37800.0,630.0,10.5,0.4375
188PT,187.59,19.4,881280.0,14688.0,244.8,10.2
IR-190g,190.52,0.13,1017792.0,16963.2,282.72,11.78
186PT,194.2,0.13,7488.0,124.8,2.08,0.08666666666666667
186PT,194.2,0.13,7488.0,124.8,2.08,0.08666666666666667
188PT,195.05,18.6,881280.0,14688.0,244.8,10.2
IR-190g,196.85,3.4,1017792.0,16963.2,282.72,11.78
189IR,197.4,0.26,1140480.0,19008.0,316.8,13.2
IR-190g,198.08,1.94,1017792.0,16963.2,282.72,11.78
IR-190g,199.3,0.23,1017792.0,16963.2,282.72,11.78
IR-192g,201.3112,0.471,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,203.78,0.41,39132.0,652.2,10.87,0.4529166666666667
IR-190m2,205.206,1.26,11113.2,185.22,3.087,0.12862500000000002
186PT,205.5,1.4,7488.0,124.8,2.08,0.08666666666666667
IR-192g,205.7943,3.31,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,207.91,0.34,1017792.0,16963.2,282.72,11.78
IR-190g,207.91,1.19,1017792.0,16963.2,282.72,11.78
186PT,210.4,2.8,7488.0,124.8,2.08,0.08666666666666667
189IR,216.7,0.52,1140480.0,19008.0,316.8,13.2
193OS,219.144,0.255,108396.0,1806.6,30.11,1.2545833333333334
186PT,219.3,0.36,7488.0,124.8,2.08,0.08666666666666667
189IR,219.4,0.53,1140480.0,19008.0,316.8,13.2
189PT,223.34,1.3,39132.0,652.2,10.87,0.4529166666666667
IR-190g,223.81,3.74,1017792.0,16963.2,282.72,11.78
186PT,224.5,0.18,7488.0,124.8,2.08,0.08666666666666667
189IR,233.5,0.3,1140480.0,19008.0,316.8,13.2
IR-190g,235.5,0.42,1017792.0,16963.2,282.72,11.78
186PT,239.0,0.39,7488.0,124.8,2.08,0.08666666666666667
186PT,242.8,0.25,7488.0,124.8,2.08,0.08666666666666667
189PT,243.5,5.9,39132.0,652.2,10.87,0.4529166666666667
186PT,244.7,0.21,7488.0,124.8,2.08,0.08666666666666667
189IR,245.1,6.0,1140480.0,19008.0,316.8,13.2
193OS,251.645,0.207,108396.0,1806.6,30.11,1.2545833333333334
186PT,253.2,0.28,7488.0,124.8,2.08,0.08666666666666667
186PT,256.2,1.18,7488.0,124.8,2.08,0.08666666666666667
189PT,258.37,0.27,39132.0,652.2,10.87,0.4529166666666667
IR-187g,258.65,0.198,37800.0,630.0,10.5,0.4375
IR-187g,261.58,0.159,37800.0,630.0,10.5,0.4375
186PT,267.5,0.28,7488.0,124.8,2.08,0.08666666666666667
186PT,269.5,0.36,7488.0,124.8,2.08,0.08666666666666667
189IR,275.8,0.54,1140480.0,19008.0,316.8,13.2
186PT,276.9,0.36,7488.0,124.8,2.08,0.08666666666666667
188PT,280.3,0.31,881280.0,14688.0,244.8,10.2
193OS,280.476,1.23,108396.0,1806.6,30.11,1.2545833333333334
186PT,280.9,1.7,7488.0,124.8,2.08,0.08666666666666667
IR-190g,282.93,0.48,1017792.0,16963.2,282.72,11.78
188PT,283.15,0.1,881280.0,14688.0,244.8,10.2
IR-192g,283.2668,0.266,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,284.58,0.13,39132.0,652.2,10.87,0.4529166666666667
IR-190g,288.22,1.64,1017792.0,16963.2,282.72,11.78
193OS,288.819,0.1405,108396.0,1806.6,30.11,1.2545833333333334
188PT,290.64,0.11,881280.0,14688.0,244.8,10.2
IR-194g,293.541,2.5,69408.0,1156.8,19.28,0.8033333333333333
IR-190g,294.75,6.6,1017792.0,16963.2,282.72,11.78
IR-192g,295.9565,28.71,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
193OS,298.831,0.186,108396.0,1806.6,30.11,1.2545833333333334
186PT,299.2,0.56,7488.0,124.8,2.08,0.08666666666666667
IR-187g,299.69,0.178,37800.0,630.0,10.5,0.4375
189PT,300.51,3.2,39132.0,652.2,10.87,0.4529166666666667
IR-194g,300.741,0.35,69408.0,1156.8,19.28,0.8033333333333333
186PT,306.2,0.21,7488.0,124.8,2.08,0.08666666666666667
IR-192g,308.45507,29.7,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
188IR,312.0,0.197,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,314.13,0.75,37800.0,630.0,10.5,0.4375
IR-192g,316.50618,82.86,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,317.65,2.8,39132.0,652.2,10.87,0.4529166666666667
193OS,321.616,1.245,108396.0,1806.6,30.11,1.2545833333333334
188IR,322.91,1.62,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,323.11,0.222,37800.0,630.0,10.5,0.4375
186PT,323.2,0.19,7488.0,124.8,2.08,0.08666666666666667
186PT,324.3,0.31,7488.0,124.8,2.08,0.08666666666666667
IR-194g,328.448,13.1,69408.0,1156.8,19.28,0.8033333333333333
186PT,333.7,0.112,7488.0,124.8,2.08,0.08666666666666667
186PT,333.7,0.112,7488.0,124.8,2.08,0.08666666666666667
186PT,338.9,0.12,7488.0,124.8,2.08,0.08666666666666667
189PT,343.2,0.1,39132.0,652.2,10.87,0.4529166666666667
189PT,343.8,0.1,39132.0,652.2,10.87,0.4529166666666667
188IR,350.0,0.24,149400.0,2490.0,41.5,1.7291666666666667
189PT,351.1,0.11,39132.0,652.2,10.87,0.4529166666666667
186PT,355.0,0.48,7488.0,124.8,2.08,0.08666666666666667
186PT,358.2,0.26,7488.0,124.8,2.08,0.08666666666666667
IR-190g,361.09,13.0,1017792.0,16963.2,282.72,11.78
IR-190m2,361.2,86.72,11113.2,185.22,3.087,0.12862500000000002
193OS,361.858,0.283,108396.0,1806.6,30.11,1.2545833333333334
186PT,365.2,0.48,7488.0,124.8,2.08,0.08666666666666667
186PT,366.8,2.0,7488.0,124.8,2.08,0.08666666666666667
IR-190g,371.24,22.8,1017792.0,16963.2,282.72,11.78
IR-192g,374.4852,0.727,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,380.03,2.03,1017792.0,16963.2,282.72,11.78
188PT,381.43,7.5,881280.0,14688.0,244.8,10.2
IR-187g,384.96,0.25,37800.0,630.0,10.5,0.4375
188IR,385.46,0.235,149400.0,2490.0,41.5,1.7291666666666667
193OS,387.509,1.226,108396.0,1806.6,30.11,1.2545833333333334
IR-187g,395.89,0.118,37800.0,630.0,10.5,0.4375
IR-190g,397.36,6.5,1017792.0,16963.2,282.72,11.78
IR-187g,398.72,0.32,37800.0,630.0,10.5,0.4375
IR-187g,400.81,3.5,37800.0,630.0,10.5,0.4375
189PT,403.9,1.2,39132.0,652.2,10.87,0.4529166666666667
IR-190g,407.22,4.6,1017792.0,16963.2,282.72,11.78
IR-190g,407.22,23.9,1017792.0,16963.2,282.72,11.78
IR-192g,416.4688,0.67,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
193OS,420.346,0.158,108396.0,1806.6,30.11,1.2545833333333334
IR-190g,420.63,1.64,1017792.0,16963.2,282.72,11.78
188PT,423.34,4.4,881280.0,14688.0,244.8,10.2
186PT,425.1,0.16,7488.0,124.8,2.08,0.08666666666666667
IR-187g,426.4,0.22,37800.0,630.0,10.5,0.4375
IR-187g,427.02,3.7,37800.0,630.0,10.5,0.4375
186PT,430.1,0.2,7488.0,124.8,2.08,0.08666666666666667
189PT,430.84,0.13,39132.0,652.2,10.87,0.4529166666666667
IR-190g,431.62,2.74,1017792.0,16963.2,282.72,11.78
186PT,432.3,0.45,7488.0,124.8,2.08,0.08666666666666667
186PT,445.4,0.36,7488.0,124.8,2.08,0.08666666666666667
IR-190g,447.81,2.55,1017792.0,16963.2,282.72,11.78
IR-187g,448.2,0.111,37800.0,630.0,10.5,0.4375
186PT,449.8,0.25,7488.0,124.8,2.08,0.08666666666666667
186PT,451.8,0.106,7488.0,124.8,2.08,0.08666666666666667
193OS,460.541,3.88,108396.0,1806.6,30.11,1.2545833333333334
186PT,463.9,0.112,7488.0,124.8,2.08,0.08666666666666667
IR-192g,468.06885,47.84,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,477.8,1.82,1017792.0,16963.2,282.72,11.78
188IR,477.99,14.7,149400.0,2490.0,41.5,1.7291666666666667
188PT,478.3,1.8,881280.0,14688.0,244.8,10.2
193OS,484.359,0.168,108396.0,1806.6,30.11,1.2545833333333334
IR-192g,484.5751,3.19,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
186PT,484.6,0.42,7488.0,124.8,2.08,0.08666666666666667
IR-190g,485.23,0.73,1017792.0,16963.2,282.72,11.78
IR-187g,485.96,0.63,37800.0,630.0,10.5,0.4375
188IR,487.7,0.212,149400.0,2490.0,41.5,1.7291666666666667
IR-192g,489.06,0.438,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,490.76,0.78,1017792.0,16963.2,282.72,11.78
IR-187g,491.74,1.13,37800.0,630.0,10.5,0.4375
189PT,493.3,0.27,39132.0,652.2,10.87,0.4529166666666667
IR-187g,501.51,1.3,37800.0,630.0,10.5,0.4375
IR-190m2,502.5,89.38,11113.2,185.22,3.087,0.12862500000000002
IR-190g,502.55,1.25,1017792.0,16963.2,282.72,11.78
189PT,511.0,0.9,39132.0,652.2,10.87,0.4529166666666667
188IR,511.0,0.69,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,511.11,0.1,37800.0,630.0,10.5,0.4375
188IR,514.77,0.131,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,515.68,0.32,37800.0,630.0,10.5,0.4375
IR-190g,518.55,34.0,1017792.0,16963.2,282.72,11.78
IR-187g,522.13,0.22,37800.0,630.0,10.5,0.4375
189PT,530.42,0.2,39132.0,652.2,10.87,0.4529166666666667
188IR,538.06,0.194,149400.0,2490.0,41.5,1.7291666666666667
189PT,539.85,0.24,39132.0,652.2,10.87,0.4529166666666667
189PT,544.91,4.9,39132.0,652.2,10.87,0.4529166666666667
193OS,557.401,1.308,108396.0,1806.6,30.11,1.2545833333333334
IR-190g,557.95,30.1,1017792.0,16963.2,282.72,11.78
193OS,559.289,0.481,108396.0,1806.6,30.11,1.2545833333333334
188IR,566.59,0.212,149400.0,2490.0,41.5,1.7291666666666667
189PT,568.85,6.0,39132.0,652.2,10.87,0.4529166666666667
186PT,569.0,0.25,7488.0,124.8,2.08,0.08666666666666667
IR-190g,569.3,28.5,1017792.0,16963.2,282.72,11.78
IR-187g,576.6,0.76,37800.0,630.0,10.5,0.4375
186PT,579.3,1.5,7488.0,124.8,2.08,0.08666666666666667
IR-187g,586.39,0.27,37800.0,630.0,10.5,0.4375
IR-192g,588.581,4.522,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-194g,589.179,0.14,69408.0,1156.8,19.28,0.8033333333333333
IR-187g,589.47,0.25,37800.0,630.0,10.5,0.4375
IR-192g,604.41105,8.216,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,605.14,39.9,1017792.0,16963.2,282.72,11.78
189PT,607.6,4.7,39132.0,652.2,10.87,0.4529166666666667
189PT,607.6,2.2,39132.0,652.2,10.87,0.4529166666666667
IR-187g,610.88,3.5,37800.0,630.0,10.5,0.4375
186PT,611.5,5.7,7488.0,124.8,2.08,0.08666666666666667
IR-192g,612.46215,5.34,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,615.39,0.47,1017792.0,16963.2,282.72,11.78
IR-190m2,616.5,90.14,11113.2,185.22,3.087,0.12862500000000002
IR-194g,621.971,0.33,69408.0,1156.8,19.28,0.8033333333333333
189PT,623.15,0.13,39132.0,652.2,10.87,0.4529166666666667
189PT,627.08,2.0,39132.0,652.2,10.87,0.4529166666666667
IR-190g,628.4,0.75,1017792.0,16963.2,282.72,11.78
IR-190g,630.91,2.9,1017792.0,16963.2,282.72,11.78
IR-190g,631.0,0.84,1017792.0,16963.2,282.72,11.78
188IR,633.02,18.0,149400.0,2490.0,41.5,1.7291666666666667
188IR,634.91,5.0,149400.0,2490.0,41.5,1.7291666666666667
186PT,635.3,2.6,7488.0,124.8,2.08,0.08666666666666667
IR-187g,636.49,0.27,37800.0,630.0,10.5,0.4375
188IR,641.59,0.38,149400.0,2490.0,41.5,1.7291666666666667
189PT,644.3,0.54,39132.0,652.2,10.87,0.4529166666666667
IR-194g,645.146,1.18,69408.0,1156.8,19.28,0.8033333333333333
IR-187g,651.4,0.38,37800.0,630.0,10.5,0.4375
IR-187g,654.3,0.3,37800.0,630.0,10.5,0.4375
IR-190g,656.02,1.16,1017792.0,16963.2,282.72,11.78
IR-187g,664.25,0.114,37800.0,630.0,10.5,0.4375
188IR,672.5,1.44,149400.0,2490.0,41.5,1.7291666666666667
186PT,689.4,70.0,7488.0,124.8,2.08,0.08666666666666667
IR-190g,690.04,0.28,1017792.0,16963.2,282.72,11.78
189PT,698.33,0.18,39132.0,652.2,10.87,0.4529166666666667
186PT,714.2,0.7,7488.0,124.8,2.08,0.08666666666666667
IR-187g,716.0,0.24,37800.0,630.0,10.5,0.4375
189PT,721.38,7.9,39132.0,652.2,10.87,0.4529166666666667
IR-187g,725.7,0.45,37800.0,630.0,10.5,0.4375
IR-190g,726.22,3.78,1017792.0,16963.2,282.72,11.78
189PT,733.73,0.3,39132.0,652.2,10.87,0.4529166666666667
189PT,735.78,0.32,39132.0,652.2,10.87,0.4529166666666667
188IR,736.56,0.29,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,740.19,0.194,1017792.0,16963.2,282.72,11.78
IR-187g,747.62,0.28,37800.0,630.0,10.5,0.4375
IR-187g,756.64,0.179,37800.0,630.0,10.5,0.4375
188IR,757.21,0.39,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,768.57,2.21,1017792.0,16963.2,282.72,11.78
189PT,792.67,1.1,39132.0,652.2,10.87,0.4529166666666667
189PT,798.2,0.16,39132.0,652.2,10.87,0.4529166666666667
IR-187g,799.9,0.79,37800.0,630.0,10.5,0.4375
188IR,810.6,0.171,149400.0,2490.0,41.5,1.7291666666666667
189PT,811.05,0.11,39132.0,652.2,10.87,0.4529166666666667
IR-190g,821.78,0.324,1017792.0,16963.2,282.72,11.78
188IR,824.34,1.03,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,828.0,0.57,1017792.0,16963.2,282.72,11.78
189PT,828.06,0.25,39132.0,652.2,10.87,0.4529166666666667
IR-190g,828.99,3.5,1017792.0,16963.2,282.72,11.78
188IR,829.42,5.1,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,839.14,1.14,1017792.0,16963.2,282.72,11.78
IR-187g,841.09,0.27,37800.0,630.0,10.5,0.4375
188IR,844.99,0.173,149400.0,2490.0,41.5,1.7291666666666667
IR-192g,884.5365,0.292,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,885.6,0.15,39132.0,652.2,10.87,0.4529166666666667
188IR,886.2,0.25,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,886.91,0.114,37800.0,630.0,10.5,0.4375
188IR,895.33,0.14,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,899.85,0.118,37800.0,630.0,10.5,0.4375
188IR,899.9,0.109,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,902.94,0.26,37800.0,630.0,10.5,0.4375
IR-187g,912.86,4.3,37800.0,630.0,10.5,0.4375
IR-190g,916.75,0.125,1017792.0,16963.2,282.72,11.78
189PT,924.75,0.24,39132.0,652.2,10.87,0.4529166666666667
188IR,931.33,0.26,149400.0,2490.0,41.5,1.7291666666666667
